org_id remap_id
stars 0
state 1
city 2
attributes::GoodForMeal 3
categories 4
attributes::WheelchairAccessible 5
attributes::AcceptsInsurance 6
attributes::Caters 7
attributes::RestaurantsDelivery 8
attributes::BusinessAcceptsCreditCards 9
attributes::BikeParking 10
attributes::ByAppointmentOnly 11
attributes::RestaurantsPriceRange2 12
attributes::Ambience 13
attributes::RestaurantsAttire 14
attributes::GoodForKids 15
attributes::RestaurantsReservations 16
attributes::OutdoorSeating 17
attributes::RestaurantsTakeOut 18
attributes::RestaurantsGoodForGroups 19
attributes::HasTV 20
attributes::RestaurantsTableService 21
attributes::CoatCheck 22
attributes::DriveThru 23
attributes::HappyHour 24
attributes::BestNights 25
attributes::Alcohol 26
attributes::NoiseLevel 27
attributes::Music 28
attributes::BusinessAcceptsBitcoin 29
attributes::WiFi 30
attributes::Smoking 31
attributes::DogsAllowed 32
attributes::GoodForDancing 33
attributes::AgesAllowed 34
attributes::Corkage 35
attributes::BYOBCorkage 36
attributes::BYOB 37
attributes::HairSpecializesIn 38
attributes::RestaurantsCounterService 39
attributes::Open24Hours 40
attributes::DietaryRestrictions 41
